fraud_name,real_name,negative_name
Tayl0r M0rrison H0me,Taylor Morrison Home,Cït rix Systems
Tayl0r M0rrison H0me,Taylor Morrison Home,Lóckheed Mar tin
Tayl0r M0rrison H0me,Taylor Morrison Home,Aramark
Tayl0r M0rrison H0me,Taylor Morrison Home,BorgWarner.
O'Rei11y Automotive,O'Reilly Automotive,Marḱel
O'Rei11y Automotive,O'Reilly Automotive,Coa ch
O'Rei11y Automotive,O'Reilly Automotive,Amer1can Express
O'Rei11y Automotive,O'Reilly Automotive,Kimber1y Clark
O'Rei11y Automotive,O'Reilly Automotive,FMÇ Technologies
O'Rei11y Automotive,O'Reilly Automotive,Cábot
Newe11 Rubbermaid,Newell Rubbermaid,D5W
Newe11 Rubbermaid,Newell Rubbermaid,Micro.soft
Newe11 Rubbermaid,Newell Rubbermaid,Tempur Sealy Internation al
Newe11 Rubbermaid,Newell Rubbermaid,oneÖk
Newe11 Rubbermaid,Newell Rubbermaid,Us ÀA
Newe11 Rubbermaid,Newell Rubbermaid,Èducati0n Management
Expeditors Internationàl of Washington,Expeditors International of Washington,eBay
Expeditors Internationàl of Washington,Expeditors International of Washington,Eastman Chemical
Expeditors Internationàl of Washington,Expeditors International of Washington,Broadçom
Expeditors Internationàl of Washington,Expeditors International of Washington,J.Crew.Gróup
Expeditors Internationàl of Washington,Expeditors International of Washington,Èversource Energy
Expeditors Internationàl of Washington,Expeditors International of Washington,Allergan
Hubbęll,Hubbell,ParPetro1eum
Hubbęll,Hubbell,PPL.
Hubbęll,Hubbell,C0nvergys
Hubbęll,Hubbell,Robért Half International.
Hubbęll,Hubbell,Pitney B0wes
Hubbęll,Hubbell,MDU Re5ources Group
Cooper Tire & Ruƃber,Cooper Tire & Rubber,Sempra Energy
Cooper Tire & Ruƃber,Cooper Tire & Rubber,United Technologies
Cooper Tire & Ruƃber,Cooper Tire & Rubber,5ystemax
Cooper Tire & Ruƃber,Cooper Tire & Rubber,Windstream. Holdings
Cooper Tire & Ruƃber,Cooper Tire & Rubber,Analog Devices
Cooper Tire & Ruƃber,Cooper Tire & Rubber,Select Medical Holdings
Br1nk's,Brink's,Wynn. Resort5
Br1nk's,Brink's,SunPower
Br1nk's,Brink's,Toll Br0thers
Br1nk's,Brink's,Dominion Resources
Br1nk's,Brink's,Tract0r Supp1y
Br1nk's,Brink's,T0ps Holding
Was te Connections,Waste Connections,Tribuné Med1a
Was te Connections,Waste Connections,Whìrlpool
Was te Connections,Waste Connections,NextÉra  Energy
Was te Connections,Waste Connections,hRg Group
Was te Connections,Waste Connections,G-III Apparel Group
Was te Connections,Waste Connections,Fortune Brands Home & Security.
Sally Beaut y Holdings,Sally Beauty Holdings,Seabòard
Sally Beaut y Holdings,Sally Beauty Holdings,Omnicom Group
Sally Beaut y Holdings,Sally Beauty Holdings,Hospira
Sally Beaut y Holdings,Sally Beauty Holdings,pPL
Sally Beaut y Holdings,Sally Beauty Holdings,H0st Hote1s & Rèsorts
Sally Beaut y Holdings,Sally Beauty Holdings,Sc0tts M1racle-Gro
Dìsney,Disney,SùnEdison
Dìsney,Disney,KB Home
Dìsney,Disney,Nasdaq OMX Group
Dìsney,Disney,L1nn Energy
Dìsney,Disney,A. O. Smith
Dìsney,Disney,BîgLots
S0nic Automotivè,Sonic Automotive,jp Morgan Cha5e
S0nic Automotivè,Sonic Automotive,MDU Re-source5 Group
S0nic Automotivè,Sonic Automotive,Èsterline Technolog1es
S0nic Automotivè,Sonic Automotive,KapSt0ne Paper & Packaging
S0nic Automotivè,Sonic Automotive,Oak tree Capi.tal Group
S0nic Automotivè,Sonic Automotive,Tr1bune Mèdia
Starwood. Hotels & Res0rts,Starwood Hotels & Resorts,Centéne
Starwood. Hotels & Res0rts,Starwood Hotels & Resorts,Ara mark
Starwood. Hotels & Res0rts,Starwood Hotels & Resorts,Newmont Mining
Starwood. Hotels & Res0rts,Starwood Hotels & Resorts,Ingram.Mìcro
Starwood. Hotels & Res0rts,Starwood Hotels & Resorts,Br0wnFo rman
Starwood. Hotels & Res0rts,Starwood Hotels & Resorts,5erviceCorp. International
Alliance Ho1dings.,Alliance Holdings,Peter Kiewit Sons'
Alliance Ho1dings.,Alliance Holdings,Lin nEnergy
Alliance Ho1dings.,Alliance Holdings,NGL EñergyPartner5
Alliance Ho1dings.,Alliance Holdings,J0hnson & J0hnson
Alliance Ho1dings.,Alliance Holdings,Cinta5
Alliance Ho1dings.,Alliance Holdings,Chàrles Schwáb
E5tee Lauder,Estee Lauder,Kelly Serv1ces.
E5tee Lauder,Estee Lauder,Són1c Automation.
E5tee Lauder,Estee Lauder,Ν0rthern Tíer Energy
E5tee Lauder,Estee Lauder,Tyson Foods
E5tee Lauder,Estee Lauder,Newfie1d Explorati0n
E5tee Lauder,Estee Lauder,Reinsúrance Group of America
Best Buÿ,Best Buy,Advanced Micro Devices
Best Buÿ,Best Buy,H&R Bloçk
Best Buÿ,Best Buy,Amgè.n
Best Buÿ,Best Buy,Ex press Scripts Holdìng
Best Buÿ,Best Buy,General Dynamiçs
Best Buÿ,Best Buy,Hyster-Yale Materials Handlîng
Mèdnax,Mednax,WABCO Holdings
Mèdnax,Mednax,Mo Hawk Industries
Mèdnax,Mednax,Toll Brothers
Mèdnax,Mednax,CIT Gröup
Mèdnax,Mednax,M0mentive Performance Materíals
Mèdnax,Mednax,McKèsson
OGÈ Energy,OGE Energy,T0wers Wat5on
OGÈ Energy,OGE Energy,Teneť Healthcare
OGÈ Energy,OGE Energy,IMS Health Hòldíngs
OGÈ Energy,OGE Energy,Hèartland Payment Systems
OGÈ Energy,OGE Energy,Heartland  Payment Systems
OGÈ Energy,OGE Energy,United.Helth Group
Apollo Educat1on Gróup,Apollo Education Group,Vulcan Materials
Apollo Educat1on Gróup,Apollo Education Group,Ryland Gr0up
Apollo Educat1on Gróup,Apollo Education Group,RusH Entèrprises
Apollo Educat1on Gróup,Apollo Education Group,Guardian Life In5. Co. of Americá
Apollo Educat1on Gróup,Apollo Education Group,WèllCare Health Planś
Apollo Educat1on Gróup,Apollo Education Group,arCBest
Black5tone Group,Blackstone Group,KLA-Teṅcor
Black5tone Group,Blackstone Group,Mednax
Black5tone Group,Blackstone Group,Coty
Black5tone Group,Blackstone Group,BRuNswick
Black5tone Group,Blackstone Group,Sèntry Insur4nce Group
Black5tone Group,Blackstone Group,Sèmprà Energy
Rá1ph Lauren,Ralph Lauren,Intel
Rá1ph Lauren,Ralph Lauren,KBR
Rá1ph Lauren,Ralph Lauren,Applied Materials
Rá1ph Lauren,Ralph Lauren,Best Buÿ
Rá1ph Lauren,Ralph Lauren,E͞nergiz͞er Holdings
Rá1ph Lauren,Ralph Lauren,Quest Diagnostics
Chipotle Mexicàn Grill,Chipotle Mexican Grill,Màrtin Marietta. Materials
Chipotle Mexicàn Grill,Chipotle Mexican Grill,Bóeing
Chipotle Mexicàn Grill,Chipotle Mexican Grill,Ryers0n Holding
Chipotle Mexicàn Grill,Chipotle Mexican Grill,Dentsply International
Chipotle Mexicàn Grill,Chipotle Mexican Grill,Clèan Harbors
Chipotle Mexicàn Grill,Chipotle Mexican Grill,HCA. Holdings
Sandersón  Farms,Sanderson Farms,Hαrsco
Sandersón  Farms,Sanderson Farms,DònaIdson
Sandersón  Farms,Sanderson Farms,Unified Grocers
Sandersón  Farms,Sanderson Farms,Pràxair
Sandersón  Farms,Sanderson Farms,Arche.r Daniels Midland
Sandersón  Farms,Sanderson Farms,CBS
Mutual of Americá Life Insurance.,Mutual of America Life Insurance,Core-Mark-Holding
Mutual of Americá Life Insurance.,Mutual of America Life Insurance,Newel1 Rubberma1d
Mutual of Americá Life Insurance.,Mutual of America Life Insurance,Juniper Networks
Mutual of Americá Life Insurance.,Mutual of America Life Insurance,Èli Lilly
Mutual of Americá Life Insurance.,Mutual of America Life Insurance,Servicè Corp. Internationa1
Mutual of Americá Life Insurance.,Mutual of America Life Insurance,Voya Financ ial
Allison Transmission. Holdings,Allison Transmission Holdings,Hyat tHotels
Allison Transmission. Holdings,Allison Transmission Holdings,Expedia
Allison Transmission. Holdings,Allison Transmission Holdings,A T&T
Allison Transmission. Holdings,Allison Transmission Holdings,TówersWatson
Allison Transmission. Holdings,Allison Transmission Holdings,Graybar.Electric
Allison Transmission. Holdings,Allison Transmission Holdings,CenterPoint Energy
EDwardsLifesciences.,Edwards Lifesciences,Deere
EDwardsLifesciences.,Edwards Lifesciences,Univiѕion Communications
EDwardsLifesciences.,Edwards Lifesciences,Aмerican EagleOutfitters
EDwardsLifesciences.,Edwards Lifesciences,Mohawk Indu5tries
EDwardsLifesciences.,Edwards Lifesciences,Dêre
EDwardsLifesciences.,Edwards Lifesciences,NC R
Grèenbrier Co.s,Greenbrier Cos.,TrueB1ue
Grèenbrier Co.s,Greenbrier Cos.,Ɓrchèr Daníels Mìdland
Grèenbrier Co.s,Greenbrier Cos.,Andersons
Grèenbrier Co.s,Greenbrier Cos.,Marsh & McLennan
Grèenbrier Co.s,Greenbrier Cos.,Pàcific Life
Grèenbrier Co.s,Greenbrier Cos.,CÁ
Carpenter Techn0logy.,Carpenter Technology,AlpháNatural Resources
Carpenter Techn0logy.,Carpenter Technology,Ulta Salon Cosmetics & Fragrance
Carpenter Techn0logy.,Carpenter Technology,MasterCard
Carpenter Techn0logy.,Carpenter Technology,Sc0tts M1racle-Gro
Carpenter Techn0logy.,Carpenter Technology,Tract0r Supp1y
Carpenter Techn0logy.,Carpenter Technology,Puget Enèrgƴ
Onèok,Oneok,LëidosHoldings
Onèok,Oneok,Amerčò
Onèok,Oneok,Northern Tier Energy
Onèok,Oneok,Covance
Onèok,Oneok,Sentry Insurànce Group
Onèok,Oneok,Western & Southern Financial Gr0up
J.B. Hunt TransporT Services.,J.B. Hunt Transport Services,Hásbro
J.B. Hunt TransporT Services.,J.B. Hunt Transport Services,Pioneer Natural Resourcès
J.B. Hunt TransporT Services.,J.B. Hunt Transport Services,Synnex
J.B. Hunt TransporT Services.,J.B. Hunt Transport Services,Johńson & Johnson
J.B. Hunt TransporT Services.,J.B. Hunt Transport Services,áltría Group
J.B. Hunt TransporT Services.,J.B. Hunt Transport Services,CNO Financial Group
Arthu r J. Gallagher,Arthur J. Gallagher,B0oz Allen Hamil ton Holding
Arthu r J. Gallagher,Arthur J. Gallagher,Trave1Centers of America
Arthu r J. Gallagher,Arthur J. Gallagher,All5tate
Arthu r J. Gallagher,Arthur J. Gallagher,Pantry.
Arthu r J. Gallagher,Arthur J. Gallagher,EPEn ergy
Arthu r J. Gallagher,Arthur J. Gallagher,Citrix Systems
H P,HP,Fi.delity National Informatìon Services
H P,HP,New Jersey Resourcès
H P,HP,Oceaneering Internationa1
H P,HP,IDEX
H P,HP,Scan S0urce
H P,HP,Bank of New York Mellon C0rp.
Compùter Sciencès,Computer Sciences,Fírst. Data
Compùter Sciencès,Computer Sciences,Ferrèllgas Par tners
Compùter Sciencès,Computer Sciences,Charles Schwab
Compùter Sciencès,Computer Sciences,Ne1man Marcus Group
Compùter Sciencès,Computer Sciences,Cummin5
Compùter Sciencès,Computer Sciences,Party City Holdings
Rockwell Automati on,Rockwell Automation,Genèral Mìlls
Rockwell Automati on,Rockwell Automation,Crow n Castle International
Rockwell Automati on,Rockwell Automation,Mutuál of Omaha Insurance
Rockwell Automati on,Rockwell Automation,TrìNetGroup
Rockwell Automati on,Rockwell Automation,Si1ganHoldings
Rockwell Automati on,Rockwell Automation,Monsanto
NRg Energie,NRG Energy,Cóach
NRg Energie,NRG Energy,Amkor Techno1ogy
NRg Energie,NRG Energy,Reynolds American
NRg Energie,NRG Energy,J.M. Smucker
NRg Energie,NRG Energy,Unďer Armour
NRg Energie,NRG Energy,Ty5on Foods
Genera1'Mills,General Mills,Stanley Black& Decker
Genera1'Mills,General Mills,Hartford Financial Services Group
Genera1'Mills,General Mills,Juñiper Networks
Genera1'Mills,General Mills,PVH
Genera1'Mills,General Mills,Ingrèdion
Genera1'Mills,General Mills,Allstate.
Sigma-Al'drich,Sigma-Aldrich,CÁC1 Internatioņal
Sigma-Al'drich,Sigma-Aldrich,Rėgal Bēloit
Sigma-Al'drich,Sigma-Aldrich,Kraft. Foods Group
Sigma-Al'drich,Sigma-Aldrich,Synop5y5
Sigma-Al'drich,Sigma-Aldrich,D0w Chèmical
Sigma-Al'drich,Sigma-Aldrich,S tandard Paci fic
Pènn Mutuál Life ïnsurance,Penn Mutual Life Insurance,SunGard Data System5
Pènn Mutuál Life ïnsurance,Penn Mutual Life Insurance,TrìNetGroup
Pènn Mutuál Life ïnsurance,Penn Mutual Life Insurance,PC Connectìon
Pènn Mutuál Life ïnsurance,Penn Mutual Life Insurance,FirstEnergy
Pènn Mutuál Life ïnsurance,Penn Mutual Life Insurance,Edward5 Life sc1ence5
Pènn Mutuál Life ïnsurance,Penn Mutual Life Insurance,M0ls0n Coors Brewing
Genuíne Part5,Genuine Parts,We isMarkets
Genuíne Part5,Genuine Parts,Toll Brothers
Genuíne Part5,Genuine Parts,Br0wnFo rman
Genuíne Part5,Genuine Parts,Rockwell. Co11ins
Genuíne Part5,Genuine Parts,Vísteon
Genuíne Part5,Genuine Parts,Interpublic Group
Crácker Barrel Old Country Store,Cracker Barrel Old Country Store,Stanley Black & Decker
Crácker Barrel Old Country Store,Cracker Barrel Old Country Store,A. Schu1man
Crácker Barrel Old Country Store,Cracker Barrel Old Country Store,Neхeó Solutions Hòldings
Crácker Barrel Old Country Store,Cracker Barrel Old Country Store,Am1ca Mutual Insurançe
Crácker Barrel Old Country Store,Cracker Barrel Old Country Store,Buc keye Partners
Crácker Barrel Old Country Store,Cracker Barrel Old Country Store,Mac y's
Appl1ed Materíals,Applied Materials,5pirit AeroSystems Holdings
Appl1ed Materíals,Applied Materials,EDwardsLifesciences.
Appl1ed Materíals,Applied Materials,CIT Group
Appl1ed Materíals,Applied Materials,¡ntercontinental Exchange
Appl1ed Materíals,Applied Materials,Rylánd  Group
Appl1ed Materíals,Applied Materials,Big Lots
Miçron Techn0logy,Micron Technology,Dar den Restaurants
Miçron Techn0logy,Micron Technology,Curti5s-Wright
Miçron Techn0logy,Micron Technology,L1ncoln Natìonal
Miçron Techn0logy,Micron Technology,Groupon
Miçron Techn0logy,Micron Technology,Har5cø
Miçron Techn0logy,Micron Technology,Wárner Músic Group
Bøyd Gam1ng,Boyd Gaming,Activision Blizzard
Bøyd Gam1ng,Boyd Gaming,Sońic Automot1ve
Bøyd Gam1ng,Boyd Gaming,FMÇ Technologies
Bøyd Gam1ng,Boyd Gaming,Unďer Armour
Bøyd Gam1ng,Boyd Gaming,Babçock & Wílcox
Bøyd Gam1ng,Boyd Gaming,International Game Technology
E0G Resources,EOG Resources,Oraçle
E0G Resources,EOG Resources,Eastmán Kodak
E0G Resources,EOG Resources,SkyWest
E0G Resources,EOG Resources,Orbi tál ATK
E0G Resources,EOG Resources,SunGard Data Systems
E0G Resources,EOG Resources,HCA Holdings
Facebo0k,Facebook,McKèsson
Facebo0k,Facebook,Últà Salon Cosmetics & Fragrance
Facebo0k,Facebook,N0rthwestern Mutua1
Facebo0k,Facebook,EnerSys
Facebo0k,Facebook,Genesc0
Facebo0k,Facebook,Amètèk
B0ston Scientific,Boston Scientific,Mutual of America Life Insurance
B0ston Scientific,Boston Scientific,Scr1pps Networks Interáctive
B0ston Scientific,Boston Scientific,A ptarGroup
B0ston Scientific,Boston Scientific,Leucadia National
B0ston Scientific,Boston Scientific,H.J. Heinz
B0ston Scientific,Boston Scientific,C0nstèllati0n Brands
Fidèlity National. Financial,Fidelity National Financial,Waste Connections
Fidèlity National. Financial,Fidelity National Financial,D0w Chèmical
Fidèlity National. Financial,Fidelity National Financial,Oil State5 lnternational
Fidèlity National. Financial,Fidelity National Financial,Pep siCo
Fidèlity National. Financial,Fidelity National Financial,Diplόmat Pharmacý
Fidèlity National. Financial,Fidelity National Financial,Vornado Realty Trust
Pol yOne,PolyOne,Pe pco Hold1ngs
Pol yOne,PolyOne,Enérgen
Pol yOne,PolyOne,Microsoft
Pol yOne,PolyOne,Rèliance Steel & Aluminum
Pol yOne,PolyOne,G reif
Pol yOne,PolyOne,Spectra Energy
Worth1ngton Industr1es,Worthington Industries,LifePoint Health
Worth1ngton Industr1es,Worthington Industries,Henry Schein
Worth1ngton Industr1es,Worthington Industries,Wa5te Connections
Worth1ngton Industr1es,Worthington Industries,Stan1ey Black & Decker
Worth1ngton Industr1es,Worthington Industries,Wal-mart
Worth1ngton Industr1es,Worthington Industries,Manp0werGroup
SánDisk,SanDisk,Pinnacle Enterta1nment
SánDisk,SanDisk,GaMeStop
SánDisk,SanDisk,Allegheny Technologies
SánDisk,SanDisk,Genesis Energy
SánDisk,SanDisk,Poo1
SánDisk,SanDisk,Carpenter Technology
Třavelers Cos.,Travelers Cos.,NGL EñergyPartner5
Třavelers Cos.,Travelers Cos.,NRG-Energy
Třavelers Cos.,Travelers Cos.,LëidosHoldings
Třavelers Cos.,Travelers Cos.,Evers0urce Energy
Třavelers Cos.,Travelers Cos.,C.ST Brands
Třavelers Cos.,Travelers Cos.,Po1ar1s Industrìes
Diplόmat Pharmacý,Diplomat Pharmacy,Cógni zant Technolog y Solutions
Diplόmat Pharmacý,Diplomat Pharmacy,Ralph Lauren
Diplόmat Pharmacý,Diplomat Pharmacy,R0per Technologies
Diplόmat Pharmacý,Diplomat Pharmacy,International Game Technology
Diplόmat Pharmacý,Diplomat Pharmacy,Werner Enterprises
Diplόmat Pharmacý,Diplomat Pharmacy,Harley-Davidson
Watsc0,Watsco,AutoNat1on
Watsc0,Watsco,AVlS Budget Gr0up
Watsc0,Watsco,Mùtual of Omaha Insurance
Watsc0,Watsco,Nati0nstar MortgageHolding5
Watsc0,Watsco,INTL FCSt0ne
Watsc0,Watsco,Árrow Electronics
C0re-Mark Holding,Core-Mark Holding,Land O'Lakes
C0re-Mark Holding,Core-Mark Holding,TöllBrothers
C0re-Mark Holding,Core-Mark Holding,Rock-Tenn
C0re-Mark Holding,Core-Mark Holding,Fidèlity National. Financial
C0re-Mark Holding,Core-Mark Holding,Pfižer
C0re-Mark Holding,Core-Mark Holding,Pèpco Holdings
Bèst Buy,Best Buy,Trinít yIndustries
Bèst Buy,Best Buy,Oraçle
Bèst Buy,Best Buy,KápStone Paper & Packagṙng
Bèst Buy,Best Buy,Mac y's
Bèst Buy,Best Buy,Ross Stores
Bèst Buy,Best Buy,Joh nson Control5
Babçock & Wílcox,Babcock & Wilcox,0wens-Illin0is
Babçock & Wílcox,Babcock & Wilcox,Hyat tHotels
Babçock & Wílcox,Babcock & Wilcox,Group 1 Aut0motive
Babçock & Wílcox,Babcock & Wilcox,Carpenter Techn0logy
Babçock & Wílcox,Babcock & Wilcox,Brookdalé Seni0r Living
Babçock & Wílcox,Babcock & Wilcox,NuStar Energy
LVB Acquisiti0n,LVB Acquisition,dR Peppér SnàppleGroup
LVB Acquisiti0n,LVB Acquisition,Miçron Techn0logy
LVB Acquisiti0n,LVB Acquisition,Téràdata
LVB Acquisiti0n,LVB Acquisition,Motorola Solutions
LVB Acquisiti0n,LVB Acquisition,Eneгgen
LVB Acquisiti0n,LVB Acquisition,Twenty-First Century Fox
LVB Acqu isition,LVB Acquisition,Puget Energy
LVB Acqu isition,LVB Acquisition,Hain Celestial Group
LVB Acqu isition,LVB Acquisition,NùSkin Enterprises
LVB Acqu isition,LVB Acquisition,ARR1S Group
LVB Acqu isition,LVB Acquisition,Diplόmat Pharmacý
LVB Acqu isition,LVB Acquisition,Telephone & Data Systems
hRg Group,HRG Group,Mo mentive Performance Materials.
hRg Group,HRG Group,Harman International Industries
hRg Group,HRG Group,L1nn Energy
hRg Group,HRG Group,Qüest Diagnostics
hRg Group,HRG Group,We5ternUnion
hRg Group,HRG Group,Nasdaq OMX Group
"Tòys ""R"" U s","Toys ""R"" Us",Syma ntec
"Tòys ""R"" U s","Toys ""R"" Us",Homè Dep0t
"Tòys ""R"" U s","Toys ""R"" Us",Lor1llard
"Tòys ""R"" U s","Toys ""R"" Us",Ingle5 Market5
"Tòys ""R"" U s","Toys ""R"" Us",MärkWest Energy Partners
"Tòys ""R"" U s","Toys ""R"" Us",R.P.M International
nOrd5trom,Nordstrom,Diplόmat Pharmacý
nOrd5trom,Nordstrom,Western Union
nOrd5trom,Nordstrom,Alere
nOrd5trom,Nordstrom,Keurig Green. Móuntain
nOrd5trom,Nordstrom,C0ncho Resources
nOrd5trom,Nordstrom,Chicó's  FAS
Xi1inx,Xilinx,Nati0nstar MortgageHolding5
Xi1inx,Xilinx,Fluor
Xi1inx,Xilinx,M0ody's
Xi1inx,Xilinx,Oceáneering. International
Xi1inx,Xilinx,Ingred1on
Xi1inx,Xilinx,Triple-S Managément
Ana daŕko Petrole um,Anadarko Petroleum,R0bert Half International
Ana daŕko Petrole um,Anadarko Petroleum,F M C
Ana daŕko Petrole um,Anadarko Petroleum,Seàrs Hómetown & Outlet. Stores
Ana daŕko Petrole um,Anadarko Petroleum,Schnitzeŕ SteelIndustries
Ana daŕko Petrole um,Anadarko Petroleum,Amázon.com
Ana daŕko Petrole um,Anadarko Petroleum,Xilinx
Genera1 E1ectric,General Electric,Exèlis
Genera1 E1ectric,General Electric,Oshkosh
Genera1 E1ectric,General Electric,WESCO Internátional
Genera1 E1ectric,General Electric,Gene rál Growth Properties
Genera1 E1ectric,General Electric,Amèriprise Financiál
Genera1 E1ectric,General Electric,A. Schulmán
AmericañTower,American Tower,A1r Products &Chemicals
AmericañTower,American Tower,hhgʀegg
AmericañTower,American Tower,Es5endant
AmericañTower,American Tower,Jacobs Engineering Group
AmericañTower,American Tower,National ÒilwellVa rco
AmericañTower,American Tower,Amkor  Techn0logy
Cognizant Technology S0lutions,Cognizant Technology Solutions,Fi£th Third Bancor.p
Cognizant Technology S0lutions,Cognizant Technology Solutions,Steel. Dyńamics
Cognizant Technology S0lutions,Cognizant Technology Solutions,Kár Auction Service5
Cognizant Technology S0lutions,Cognizant Technology Solutions,Mèdical. Mutua1 of Ohio
Cognizant Technology S0lutions,Cognizant Technology Solutions,Hawa iian Holdings
Cognizant Technology S0lutions,Cognizant Technology Solutions,Berkshìre Hathaway
Wèstern Union,Western Union,Keurig Green. Móuntain
Wèstern Union,Western Union,EνerSys
Wèstern Union,Western Union,ChS
Wèstern Union,Western Union,Rá1ph Lauren
Wèstern Union,Western Union,CentèrPointEner gy
Wèstern Union,Western Union,UnítedStatès Steel
Cab0t 0il & Gas,Cabot Oil & Gas,Třavelers Cos.
Cab0t 0il & Gas,Cabot Oil & Gas,We5tlake Chemical
Cab0t 0il & Gas,Cabot Oil & Gas,SherwínWilliams
Cab0t 0il & Gas,Cabot Oil & Gas,CΜS Eñeгgy
Cab0t 0il & Gas,Cabot Oil & Gas,Pu1teGroup
Cab0t 0il & Gas,Cabot Oil & Gas,Mur phi USA
Sp artanNash,SpartanNash,Tr1bune Mèdia
Sp artanNash,SpartanNash,V¡acom
Sp artanNash,SpartanNash,Cóach
Sp artanNash,SpartanNash,Big Lots
Sp artanNash,SpartanNash,FrontíerCommunications
Sp artanNash,SpartanNash,Hillshire Brands
nu StarEnergy,NuStar Energy,Amerícan Natìonal Insurancè.
nu StarEnergy,NuStar Energy,Weïs Markèts
nu StarEnergy,NuStar Energy,Tor o
nu StarEnergy,NuStar Energy,AutoZone
nu StarEnergy,NuStar Energy,Fami1yD0llar Store5
nu StarEnergy,NuStar Energy,RCS Capital.
D0naldson,Donaldson,Cóvance
D0naldson,Donaldson,Wi11iams
D0naldson,Donaldson,MägelIan Health
D0naldson,Donaldson,Publix Super Mar kets
D0naldson,Donaldson,Us ÀA
D0naldson,Donaldson,C.F Industries Holdings
NèwMarket,NewMarket,Stryker
NèwMarket,NewMarket,Babçock & Wílcox
NèwMarket,NewMarket,Tèxas Instruments
NèwMarket,NewMarket,Darling. Ingredìents
NèwMarket,NewMarket,U5G
NèwMarket,NewMarket,Maxím In tegrated Products
Hásbro,Hasbro,Be5tBuy
Hásbro,Hasbro,Lin nEnergy
Hásbro,Hasbro,AbbVie
Hásbro,Hasbro,E*T rade Fìnancial
Hásbro,Hasbro,Commercial.Metals
Hásbro,Hasbro,Fredđie Mác
hSn,HSN,¡ntercontinental Exchange
hSn,HSN,Pàntry
hSn,HSN,Guardian Life In5. Co. of Americá
hSn,HSN,Genera1Dynamics
hSn,HSN,Esterline Technologie5
hSn,HSN,NRg Energie
Springleàf Hold1ngs,Springleaf Holdings,5outhwest Gas
Springleàf Hold1ngs,Springleaf Holdings,Extrrran Holdlngs
Springleàf Hold1ngs,Springleaf Holdings,Smárt & F inal Stores.
Springleàf Hold1ngs,Springleaf Holdings,Arrow Electronics
Springleàf Hold1ngs,Springleaf Holdings,Hawa1ian Electriç Industries
Springleàf Hold1ngs,Springleaf Holdings,Beacón Roofing Supply
Torchmark.,Torchmark,5kechers U.S.A.
Torchmark.,Torchmark,SpartanNash
Torchmark.,Torchmark,Lockheed Martin
Torchmark.,Torchmark,Aa R
Torchmark.,Torchmark,Tríple-S Manaģement
Torchmark.,Torchmark,DS W
Flόwers.Foods,Flowers Foods,Darling. Ingredìents
Flόwers.Foods,Flowers Foods,Wárner Músic Group
Flόwers.Foods,Flowers Foods,Ce ntene
Flόwers.Foods,Flowers Foods,Diploma t Pharmacy
Flόwers.Foods,Flowers Foods,S.M Energy
Flόwers.Foods,Flowers Foods,Buckèye Partner5
A M C Networks,AMC Networks,Ametek
A M C Networks,AMC Networks,Re.pub1ic Services
A M C Networks,AMC Networks,Jonès Fìnancial
A M C Networks,AMC Networks,Equifáx
A M C Networks,AMC Networks,Union Paci fìc
A M C Networks,AMC Networks,LPl FinanciálHoldings
Weyerhaeu5er,Weyerhaeuser,Willbros Group
Weyerhaeu5er,Weyerhaeuser,International Paper
Weyerhaeu5er,Weyerhaeuser,PPG 1ndustries
Weyerhaeu5er,Weyerhaeuser,Publix Super Markets
Weyerhaeu5er,Weyerhaeuser,Mondélez Intèrnational
Weyerhaeu5er,Weyerhaeuser,New Jersey Resourcès
Southwest Airlìnes,Southwest Airlines,Twènty-First Cmntury Fox
Southwest Airlìnes,Southwest Airlines,Caterpillar
Southwest Airlìnes,Southwest Airlines,Joy Gl0bal
Southwest Airlìnes,Southwest Airlines,Seventy Seven Energy
Southwest Airlìnes,Southwest Airlines,Asçena Retail Gr0up
Southwest Airlìnes,Southwest Airlines,V1shay Intertechnology
Viste0n,Visteon,1am Researcħ
Viste0n,Visteon,Me ttlèr-Toledo International
Viste0n,Visteon,Be1den
Viste0n,Visteon,Range Rèsources
Viste0n,Visteon,ITT
Viste0n,Visteon,TeReX
Penskè Automotive Gr0up,Penske Automotive Group,Genès có
Penskè Automotive Gr0up,Penske Automotive Group,Ally Financiål
Penskè Automotive Gr0up,Penske Automotive Group,AGÇO
Penskè Automotive Gr0up,Penske Automotive Group,He5s
Penskè Automotive Gr0up,Penske Automotive Group,Sherwin-Williams
Penskè Automotive Gr0up,Penske Automotive Group,H.B. Fu1ler.
SunGard Data System5,SunGard Data Systems,Micro.soft
SunGard Data System5,SunGard Data Systems,Unìted Natural Foods
SunGard Data System5,SunGard Data Systems,Gartnèr
SunGard Data System5,SunGard Data Systems,Chubb
SunGard Data System5,SunGard Data Systems,Bèd Bath & Beyond
SunGard Data System5,SunGard Data Systems,Mònѕanto
Dêre,Deere,Teám Heath Holdings
Dêre,Deere,Univi sion Communicati0ns
Dêre,Deere,Cièna
Dêre,Deere,DsW
Dêre,Deere,Vúlcán Material5
Dêre,Deere,Educa tion Managemènt
Reg¡ons Financíal,Regions Financial,Frontier Communicati0ns
Reg¡ons Financíal,Regions Financial,Mötorola Solutions
Reg¡ons Financíal,Regions Financial,R0ckwell Coll1ns
Reg¡ons Financíal,Regions Financial,ReynòldsAmericán
