real_name,positive_names,negative_names
Booz Allen Hamilton Holding,"['Booz Allen Hamilton Holding.', 'B0oz Allen Hamil ton Holding', 'Bóoz Allen Hamilt0n Holding']","['Team Hèalth Holding5', 'Allison Transmission Holdings', 'Allison Transmission. Holdings', 'Al1isón Transmission Holdings']"
BorgWarner,"['Borg Wárner', 'BorgWarner.', 'B0rgWarner']","['T1meWarner', 'Gartner', 'Time-Warner', 'Time Warner', 'Targa Energy', 'Gar tner']"
Boston Properties,"['Bôston Properties', 'Boston Propèrties', 'B0ston Properties.']","['Generál Gr0wth Properties', 'Bon-Ton Stores', 'General Growth Properties', 'Gene rál Growth Properties']"
Boston Scientific,"['Bo5ton Sc1entific', 'B0ston Scientific', 'Bostón Scientifíc']","['Thermo Fisher Scientific', 'Union Pacific', 'Thèrm0 Físher Scientific', 'therMo Fìsher Scìentific']"
Boyd Gaming,"['Boyd Gamin g', 'B0yd Gáming', 'Bøyd Gam1ng']","['Bóeing', 'Boeing', 'W.W. Gra1nger', 'Boe ing', 'W.W. Grainger', 'Pënn Nationál Gaming']"
Brink's,"['Brinks', ""Br1nk's"", ""Brínk's""]","[""Aaron's"", ""Aar0n's"", 'L Bránds', ""Áaron's"", 'L Brands', '1 Brands']"
Brinker International,"['B rinkèr International', 'Br1nker International', 'Brinker Intèrnational']","['Edison International', 'Baxte r International', 'Baxter International', 'Anixter International']"
Bristol-Myers Squibb,"['Bristol-Myers Squíb b', 'Brístol-Myers-Squibb', 'Br1stol-Myers Squ1bb']","['Emerson Electric', 'Blàckstone Gr0up', 'Tràctor Supply', 'Blackstone Group', 'Chàrles Schwáb', 'Tractor Supply']"
Broadcom,"['Broadcom.', 'Broadçom', 'Br0adcom']","['Via com', 'Viacom', 'Brown-Forman', 'L Brands', 'V¡acom', '1 Brands']"
Broadridge Financial Solutions,"['BróadrÍdge Financial Solutions', 'Broadridge Financial Solu tions.', 'Br0adridge Financ1al Solutions']","['Thrivent Financial for Lutherans', 'LPL Financial Holdings', 'Thri vent Financial for Lutherans', 'E*Trade Financial']"
Brocade Communications Systems,"['Brocade C0mmunications Sy5tems', 'Brócade Communications Systems.', 'Br0cade Commun1cations Systems']","['Frontier Communications', 'Charteŕ Communic ations', 'Front1er, Communications', 'FrontíerCommunications', 'Charter Communications']"
Brookdale Senior Living,"['Brookdalé Seni0r Living', 'Brook dale Sen1or. Living', 'Br00kdále Senlor Living']","['Booz Allen Hamilton Holding', 'B0oz Allen Hamil ton Holding', 'Boston Scientific', 'WorldFuèl Services', 'Boe ing', 'Booz Allen Hamilton Holding.', 'World Fuel Services', 'Bo5ton Sc1entific']"
Brown-Forman,"['Br0wnFo rman', 'Brown°F0rman', 'Brown- Fórman']","['BorgWarner', 'Sanderson Farms', 'I ron Mountain', ""Bloomin' Brands"", ""Bloomin' Brand5"", 'Iron Mountain']"
Brunswick,"['BRuNswick', 'Brunsw1ck', 'Bruns wick']","[""Brínk's"", 'Mósaic', 'Mosaic', 'Brinks', ""Brink's""]"
Buckeye Partners,"['Buçkeye.Partners', 'Buc keye Partners', 'Buckèye Partner5']","['NGL Energy Partners', 'régency energy Partners', 'NGL Enèrgy Partners', 'Ferrellgas Partners', 'Ferre11gas Partners', 'Regency Energy Partners']"
Burlington Stores,"['Buřlington Storès', 'BùrlingtonSto res', 'burLington St0res']","['B0n-Ton Stores', 'Bón-Ton Stores', 'Worthington Industries', 'Bon-Ton Stores', 'Wòrthington Industries']"
C.H. Robinson Worldwide,"['C.H Rexbìn50n Worldw1de', 'C.H. Robinson. Worldw1de', 'C.H. R0binS0n W0rldwide']","['Y R C Worldwide', 'YRC Wòrldwide', 'Hilton Worldwide Holdings', 'YRC Worldwide']"
C.R. Bard,"['C.R. Bárd', 'C.R. Bàrd', 'C.R. Bard']","['W.R. Berkley', 'C.ST Brands', 'W.R. Berklèy']"
CA,"['ca.', 'CÁ', 'C A']","['SCANa', 'RPC', 'SCANA', 'F.MC', 'rpC', 'HCP.', 'SCáNA', 'R.PC', 'nCR']"
CACI International,"['CAC1 Internationa1', 'CACI. Intèrnational', 'CÁC1 Internatioņal']","['R.P.M International', 'RPM International', 'WESCO International', 'RPM Internationa1', 'WeSó International']"
CBRE Group,"['CB RE Group', 'CBRè Group', 'CBR3Group']","['EMCOR Group', 'CME Group', 'HRG Group', 'CM E Group', 'hRg Group']"
CBS,"['CB5', 'C.BS', 'cBs']","['arCBest', 'CSX', 'lBM', 'ChS', 'CÁ', 'CHS', 'CA', 'KBR']"
CDW,"['CD.W', 'cDW', 'CDW', 'D5W']","['DsW', 'DS W', 'DSW']"
CF Industries Holdings,"['Cf Industries Ho1dings', 'C.F Industries Holdings', 'CF Indu5triesHoldings']","['HCC Insurance. Holdings', 'HCC Insurance Holdings', 'Windstream Holdings', 'Windstream. Holdings', 'HC C Insurance Holdings']"
CH2M Hill,"['CH2M.Hill', 'CH2M Híll', 'C H2M Hill']","['H.J. Hèinz', 'FM Global', 'H.j. HeinZ', 'fM globál', 'Èli Lilly', 'FM Gl0bal', 'H.J. Heinz']"
CHS,"['C.HS', 'CH5', '1HS', 'ChS']","['CSX', 'CBS', 'HP', 'IHS', 'CÁ', 'CS.x', 'I.HS', 'HSN', 'CA']"
CIT Group,"['CIT Gröup', 'C1T Group', 'C1 T Group']","['CMÈ Group', 'CM E Group', 'CME Gr0up', 'CME Group']"
CME Group,"['CMÈ Group', 'CM E Group', 'CME Gr0up']","['CIT Gröup', 'CB RE Group', 'C1T Group', 'CBRE Group', 'CBRè Group', 'CIT Group']"
CMS Energy,"['CMS Energý', 'CМSEnеrgy', 'CΜS Eñeгgy']","['5M Ener gy', 'Entergy', 'S.M Energy', 'C1marex Eñergy', 'SM Energy']"
CNO Financial Group,"['CNO Financlal Group', 'C.NO Financial Group', 'CN0 Financìal Group']","['StanC0rp Fìnancial Group', 'StánCorp Financial Gròup', 'StanCorp Financial Group']"
CST Brands,"['C5T Brands', 'C.ST Brands', 'CsT Brand5']","['1 Brands', 'L Bran ds', 'L Brands']"
CSX,"['C5X', 'cS X', 'CS.x']","['SpX', 'CBS', 'ChS', 'SyStémaX', 'CÁ', 'SPX', 'tJX', 'CHS', 'CA']"
CUNA Mutual Group,"['CUNA Mutuäl Group', 'CUNA Mùtual Group', 'CUNA Mutuäl. Group']","['A ptarGroup', 'CMÈ Group', 'Unum Group', 'CME Group', 'Altria Group']"
CVS Health,"['CVȘ Health', 'CVS Heâlth', 'CvS Health']","['Cardina1 Health', 'Cárdinal Health', 'Cardinal Health']"
Cabela's,"['Cabela ’s', ""Cabéla's"", ""Cabe1a's""]","['Caterpillar', 'Celanése', 'Cabot Oil & Gas', 'Cabót Oil & Gas', 'Ca1eres', 'Caleres', ""Carter's"", 'Celanese']"
Cablevision Systems,"['Cablèvision Systems', 'Cablevisi0n System5', 'Cablëvi sion Systems']","['Cisc0 Sy5tems', 'Cïsco. Systems', 'Císco Systems', 'Citrix Systems', 'Cisco Systems']"
Cabot,"['Cábot', 'Cábôt', 'Cab0t']","['Cötÿ', 'Co.ty', 'Costco', 'Coty', 'C0ty', 'Comcast', 'Cömcast', 'Cartèrs']"
Cabot Oil & Gas,"['Cab0t 0il & Gas', 'Cabót Oil & Gas', 'Cabot Oil & Ga5']","['National Fuel Gas', ""Cabéla's"", ""Cabela's"", 'Cabot', 'Nati0nal Fuel Ga5']"
Caesars Entertainment,"['Çaesárs Entertainmènt', 'Cæsaèrs Enteŕtainment', 'Cæsars Entertainmènt.']","['Pinnacle Entertainme nt', 'Pinnacle Entertainment', 'Pìnnaçle Entertainment']"
Caleres,"['Ca1erèѕ', 'Ca1eres', 'Caleres.']","['Calp1ne', 'Álere', 'Cerńer', 'Carter.s', ""Carter's"", 'Cartèrs']"
Calpine,"['Calp1ne', 'Ca1pine', 'Cálpine']","['Cr ane', 'Crane', 'Celgene', 'Cŕane', 'Olin', 'Ólin']"
Calumet Specialty Products Partners,"['Cá1ümet Specialty Products Partnèrs', 'Ca l umet Specialty Pr0ducts Partnėrs', 'Calu.met Specialty Pr0ducts Partners']","['Enterprise Products Partners', 'Enterpríse Products Partner5', 'Enterprise. P roducts Partners']"
Cameron International,"['Camèron Internationa1', 'Caméron Internat1onal', 'Cameron Inte rnational']","['Baxter International', 'Èdison Internat1onal', 'Oceaneering Internationa1', 'Marriott International', 'Tower International', 'Baxte r International', 'Towér International', '0ceanèering International']"
Campbell Soup,"['Cämpbell S0up', 'cAMPbèll Soup', 'Càmpbell Sou p']","['GameSt0p', 'Carlyle Group', 'CUNA Mutual Group', 'Carlyle Grou.p', 'Cárlyle Group', 'CUNA Mùtual Group']"
Capital One Financial,"['Capítal One Fìnancial', 'Cap1tal One Financial', 'CapitalOne Financial']","['Jones Financial', 'Cincinnatì  Fìnancial', 'Ocwen Financial', 'Principal Financial']"
CarMax,"['CaŕMax', 'CarM ax', 'CarMáx']","['Cr ane', 'Crane', 'Clør0x', 'MeDnax', 'Cran3', 'Mèdnax', 'Colfax', 'Mednax', 'Cölfax']"
Cardinal Health,"['Cardina1 Health', 'Cárdinal Health', 'Car dinal Health']","['CVȘ Health', 'CVS Health', 'CvS Health']"
CareFusion,"['CarëFus1on', 'Care-Fusion', 'CárèFusion']","['vErizon', 'Verizon', 'Pattérson', 'Ca1eres', 'Patterson', 'Patrèson', 'Caleres']"
Carlisle,"['Caₗlisle', 'Carli̇sle', 'Cárlisle']","['Calp1ne', 'Carlyle Group', 'Harris', 'Cálpine', 'Calpine', 'Cèlanese']"
Carlyle Group,"['Cárlyle Group', 'Carly1e Group', 'Carlyle Grou.p']","['J.Crew  Group', 'J.Crew Group', 'Priceline Group']"
Carpenter Technology,"['Carpènter Technology', 'Carpenter Techn0logy.', 'Carpenter Techn0logy']","['Micron Technology', 'Rôper Techn0logies', 'R0per Technologies', 'Roper Technologies', 'Miçron Techn0logy']"
Carter's,"['Carter.s', ""CARTer's"", 'Cartèrs']","[""Aaron's"", 'Harr1s', 'Harris', 'Gartner', 'Ca1eres', 'Caleres']"
Casey's General Stores,"[""Ca5ey's Genéral Stores."", ""Ca5ey's Genèral Stores"", ""Ca5ey's General Sto res""]","['Smart & Final Stores', '5mart & Final Stores', 'Genera1, Mòtors', 'General Motors', 'General M0t0rs']"
Caterpillar,"['Cáterpi11ar', 'Cátèrpillar', 'Caterpil1ar.']","['MasterCard', 'Lorillar.d', 'Dillard5', 'Comerica', 'MàsterCard', 'Ma5terCard', 'Lorillard']"
Celanese,"['Cèlan ese', 'Celanése', 'Cèlanese']","['Cr ane', 'Crane', 'Celgène.', ""Cabela's"", 'Cabela ’s', 'Celgene', 'Cŕane']"
Celgene,"['Celgène.', 'Ce1gene']","['Ce ntene', 'Celanése', 'Cerner', 'Centene', 'Celanese']"
Centene,"['Cèntene', 'Centéne', 'Ce ntene']","['Tenneco', 'Tennec0', 'Cerner', 'Ce1gene', 'Celgene', 'Celanese']"
CenterPoint Energy,"['Cente.rPoint Energy', 'CentèrPointEner gy', 'CenterPoint Energý']","['Dèvon Energy', 'Genesis Energy', 'Southwestern Energy', 'We5tarEnergy', 'Devon Energy']"
CenturyLink,"['Centuryl1nk', 'CentuŕyLink', 'Centu.ryLink']","['Chemtura', 'Ce ntene', 'Centéne', 'Henry Schein', 'Centene']"
Cerner,"['Ce rnér', 'Ce.rner', 'Cerńer']","['Cr ane', 'Crane', 'Chevr0n', 'Chevron', 'Ca1eres', 'Centéne', 'Carter.s', 'T1meWarner', 'Caleres']"
Charles Schwab,"['Char1es Sch wab', 'Chàrles Schwáb', 'charle5 Schwaß']","['Berkshìre Hathaway', 'Chur ch & Dwight', 'henRy Scheín', 'Church & Dwight', 'Coa ch', 'Safe way', 'CarM ax']"
Charter Communications,"['Ḉharter Commúnications', 'Charteŕ Communic ations', 'Charťer Communicati0ns']","['Frontier Communications', 'FrontíerCommunications', 'Front1er, Communications', 'Frontier Communicati0ns']"
Chemtura,"['Chem1ura', 'Chèmtura', 'Chem turá']","['Centuryl1nk', 'Co mèrica', 'Chevr0n', 'C0mèrica', 'Chevron', 'Comerica', 'DowChem1cal']"
Chesapeake Energy,"['Chesapeake Eńergy', 'Che5apeake Energy', 'Chesa peakeEnergy']","['Sempra Energy', 'Westar Energy', 'S pectra Energy', 'Şempra Energy', 'Speçtra Energy']"
Chevron,"['Chèvron', 'Chevr0n']","['Crane', 'Ce rnér', 'vErizon', 'Cerner', 'Ce.rner', 'Cran3']"
Chico's FAS,"[""Chic0's FAS"", ""Chicó's  FAS"", ""Chicos' FAS""]","['ChS', 'Cisc0 Sy5tems', 'Cisco Systems', 'C A']"
Chipotle Mexican Grill,"['Ch1potle Mex1can Grill', 'Chipotle Mexic an Grill', 'Chipotle Mexicàn Grill']","['Capítal One Fìnancial', 'Cap1tal One Financial', 'Capital One Financial', 'CapitalOne Financial']"
Chiquita Brands International,"['Chiqu1ta Brands Intèrnational', 'Chiquitá B.rands International', 'Ch1quita Brands International']","['Nav1star International', 'Cameron Inte rnational', 'Navistar International', 'Philip Morris International', 'Cameron International', 'Oil States International']"
Chubb,"['Chübb', 'Chubb.', 'Ch ūbb']","['Cábôt', 'Hubbęll', 'Hubbell', 'ChS', 'Cóach', 'Chem turá']"
Church & Dwight,"['Church & Dw1ght', 'Chur ch & Dwight', 'Churcḥ & Dwight']","['Cuřtiss-Wright', 'Char1es Sch wab', 'Curtiss W-right', 'Tèch Data', 'Curtiss-Wright']"
Ciena,"['Ci ena', 'Ciena.']","['Cièna', 'Cigna', 'Cintas']"
Cigna,"['Cièna', 'Cígna', 'c1gna', 'Cig.na', 'CéIgenè']","['Cìntas', 'Ciena', 'Cintas', 'Ce1gene', 'C1ntas', 'Celgene', 'Cinta5', 'àMgen']"
Cimarex Energy,"['C1marex Eñergy', 'Cìmàrex Energy', 'Cimarex,Ener gy']","['Sempra Energy', 'We5tarEnergy', 'Nob1e Energy', 'Sèmprà Energy', 'TargaEnergy', 'FirstEnergy', 'Targa Energy', 'Şempra Energy']"
Cincinnati Financial,"['Cincinnati F1nancial.', 'Cincinnatì  Fìnancial', 'Cìnciñnati FinanciaI']","['Countrý Financial', 'Coúntry Financia1', 'Country Financial', 'Principal Financial']"
Cinemark Holdings,"['Cinemark. Holdíngs', 'Cínemark H0ldings', 'C1nemark Hold1ngs']","['Sears Holdings', 'Core-Mark Holding', 'Sear5 Holdings']"
Cintas,"['Cinta5', 'C1ntas', 'Cìntas']","['Vèntas', 'Ventas', 'Ciena', 'Cièna', 'Cígna', 'Cigna']"
Cisco Systems,"['Císco Systems', 'Cisc0 Sy5tems', 'Cïsco. Systems']","['Cablèvision Systems', 'Cablevision Systems', 'Adobe Systems', 'Cït rix Systems', 'Citrix Systems', 'C1trix Systems']"
Citigroup,"['Citìgroup.', 'C1tigro up', 'Cít1group']","['CMÈ Group', 'CME Group', 'TriNet Group', 'C1T Group', 'Altria Group', 'hRg Group']"
Citrix Systems,"['Cït rix Systems', 'C1trix Systems', 'Citrix System5']","['Cisc0 Sy5tems', 'Cïsco. Systems', 'Ryder System', 'Císco Systems', 'Cisco Systems', 'Landstar System']"
Clean Harbors,"['C1ean Harbors.', 'Cleañ Hárbors', 'Clèan Harbors']","['Harr1s', 'Harris', 'Ce rnér', 'Ame rican Water Works.', 'Cèlan ese', 'Amer1can Water Works', 'American Water Works', 'Caleres', 'Cartèrs']"
Cliffs Natural Resources,"['Cliffs. Naturál Resources', 'Cl1ffs Naturai Resources', 'Clif fs Natural Res0urces']","['A1pha Natural Resources', 'Alpha Natural Resources', 'Pioneer Natural Resources', 'AlpháNatural Resources']"
Clorox,"['Cl0rox', 'C1orox', 'Clør0x']","['Xerox', 'Toro', 'Tor o', 'Xero x', 'Colfax', 'Cölfax', 'CarMáx']"
Coach,"['COAch', 'Cóach', 'Coa ch']","['Covance', 'alCoa', 'Apache', 'ChS', 'Paÿchex', 'Covance.', 'Apachè']"
Coca-Cola,"['Coca- Còla', 'C0ca-Cola', 'Çoca-Cola']","['Coca-Cola Enterprises', 'Ecolab', 'Còca-Cola Entreprises', 'alCoa', 'Colfax', 'Coca-Cola Enterpr1ses']"
Coca-Cola Enterprises,"['C0ca-Co1a Enterpr1ses', 'Coca-Cola Enterpr1ses', 'Còca-Cola Entreprises']","['Hovnanian Enterprises', 'Ícahn Enterpríses', 'Icahn Enterprises', 'H0vnanian Enterprises', 'IcaḥnEnterprises']"
Cognizant Technology Solutions,"['Cognizant Technology S0lutions', 'Cógni zant Technolog y Solutions', 'C0gnizant Techn0logy Soluti0ns']","['Agilent Techno logies', 'Unitèd Technologies', 'Agilent Technologies']"
Colfax,"['Colfa x', 'Cölfax', 'C0lfax']","['Çoca-Cola', 'Clør0x', 'alCoa', 'C0ca-Cola', 'Clorox', 'Cl0rox', 'Coca-Cola']"
Colgate-Palmolive,"['C0lgate-Palm0live', 'Colgáte-Palmolive', 'Co lgate-Palmolive']","['Core-Mark-Holding', 'Calpine', 'Caterpillar', 'Core-Mark Holding', 'Celgene', 'Progressive', 'Coca-Cola']"
Columbia Sportswear,"['Co\xadlumbia Sportswear', 'C0lumbia Sportswear', 'Columbia Spor tswear']","['Global Partners', 'Publix Super Markets', 'Public Storage', 'American Tower']"
Comcast,"['Cömcast', 'Co mcast', 'C0mcast']","['m1crosoft', 'Co mèrica', 'Costco', 'C0mèrica', 'Comerica']"
Comerica,"['comerica.', 'Co mèrica', 'C0mèrica']","['Co mcast', 'McCormick', 'C0mcast', 'AmericañTower', 'Comcast', 'MçCormick', 'Reynolds American', 'Cömcast']"
CommScope Holding,"['Co mmScope Holding', 'CommScope H0lding', 'CommSc0pe Holding']","['Tops Holding', 'Zimmer Holdings.', 'Zimmer Holdings']"
Commercial Metals,"['Commercial.Metals', 'Commèrciál Metals', 'C0mmercial Metàls']","['General Motors', 'Cárdinal Health', 'A-Màrk Precious Metals', 'Compùter Sciencès', 'Comerica', 'Computer Sciences', 'A-Mark Precious Metals', 'General Mills', 'Genèral Mìlls']"
Community Health Systems,"['C0mmunity Health System5', 'Com munity Health System.', 'Commun1ty Health Systems']","['Brocade C0mmunications Sy5tems', 'Brócade Communications Systems.', 'SunGard Data Systems', 'Brocade Communications Systems', 'Br0cade Commun1cations Systems']"
Computer Sciences,"['C0mputer Sciences', 'Compùter Sciencès', 'C0mputèr Scien ces']","['G1lead Sciences', 'Gilead Sciences', 'Comerica', 'Gilead. Sciences']"
Con-way,"['Con--way', 'Còn-way', 'C0n-way']","['Convergys', 'Cièna', 'Coty', 'Cígna', 'Cigna', 'Coca-Cola']"
ConAgra Foods,"['ConAgra F0ods', 'ConAgra. Foods', 'C0nÁgra Foods']","['Dèan Foods', 'Pinnacle Foods', 'Tyson. Foods', 'Tyson Foods', 'Dean Foods', 'Ty5on Foods']"
Concho Resources,"['C0ncho Resources', 'Cóncho Resources', 'Con cho Resources']","['Domin1on Resources', 'Range Resources', 'Dominion Resources', 'Antero Resources']"
ConocoPhillips,"['Cønoco Phillips', 'Con0coPhillíps', 'ConocoPhil1ips']","['Phíllips 66', 'Phillips 66.', 'Crown Holdings', 'Phillips 66']"
Consol Energy,"['Cónsol Energy', 'Cons0l E nergy', 'C0nsol Enèrgy']","['Dèvon Energy', 'TECo Energy', 'N0ble Energy', 'CMS Energy', 'Noble Energy']"
Consolidated Edison,"['C0nsolidated Edison', 'Consolidated Edis0n.', 'Consolidated Edìson']","['Hilton Worldwide Holdings', 'Consol Energy', 'SunEdison', 'Constellation Brands', 'Cónsol Energy', 'SùnEdison', 'Donal dson']"
Constellation Brands,"['Con5tellat1on Brands', 'Constellation Brands', 'C0nstèllati0n Brands']","['CST Brands', 'Hìllshire Brands', ""B1oomin' Brands"", 'Hillshire Brands', ""Bloomin' Brands""]"
Continental Resources,"['C0ntinental Reso urces', 'Continéntal Resources', 'Cont1nental Res0urces']","['Concho Resources', 'P1oneer Natural Resources', 'Domin1on Resources', 'Antero Resources', 'Änterò Resources', 'Pioneer Natural Resources', 'Dominion Resources']"
Convergys,"['C0nvergys', 'Con vergys', 'Cónvergys']","['TECo Energy', 'ÊnerSys', 'CMS Energy', 'Consol Energy', 'Èntergy', 'Cónsol Energy']"
Cooper Tire & Rubber,"['Cøoper Tire & Rubber', 'Cooper Tire & Ruƃber', 'Cooper T1re & Rubber']","['Gòodyear Tire & Rubber', 'Goodyear Tire & Rub ber', 'Goodyear Tire & Rubber']"
Cooper-Standard Holdings,"['Coo per-Standard Holdings', 'Cooper-Standard H0lding5', 'C00per-Standard Holdings']","['Core-Mark-Holding', 'Exterran Holdings', 'Core-Mark Holding', 'Cinemark Holdings', 'Cínemark H0ldings']"
Core-Mark Holding,"['C0re-Mark Holding', 'Core-Mark Hold1ng', 'Core-Mark-Holding']","['C1nemark Hold1ngs', 'Cinemark. Holdíngs', 'Sears Holdings', 'Sear5 Holdings', 'Cinemark Holdings', 'Cínemark H0ldings']"
Corning,"['C0rning', 'Cörning', 'Corn.ing']","['0wens Corning', ""Owen'sCorning"", 'Owens Corning']"
Costco,"['C0st co', 'Costc0', 'Co5tco']","['Cábot', 'Sysco', 'Masco', 'Co mcast', 'Sys co', 'Coty', 'Comcast', 'Coach']"
Coty,"['C0ty', 'Cötÿ', 'Co.ty']","['Cábot', 'Cábôt', 'Costco', 'Cabot']"
Country Financial,"['Countrý Financial', 'CouNtry Financíal', 'Coúntry Financia1']","['Voya Financ ial', 'Symètra Financial', 'Jone5 Financial.', 'Jones Financial', 'Voya Financial', 'ocWen Financial']"
Covance,"['C0vance', 'Cóvance', 'Covance.']","['Cŕane', 'Cr ane', 'Crane', 'Coach']"
Cracker Barrel Old Country Store,"['Crácker Barrel Old Country Store', 'Cracker Bàrrel Old Cou ntry Store', 'Crackèr Barrel Old Country Store.']","['Sears Hometown & Outlet Stores', ""Ca5ey's Genéral Stores."", ""Casey's General Stores"", 'Sēars Hometown & 0utlet Stores', ""Ca5ey's Genèral Stores"", 'Brocade Communications Systems', 'Br0cade Commun1cations Systems']"
Crane,"['Cŕane', 'Cr ane', 'Cran3']","['Covance', 'Cóvance', 'CsT Brand5', 'CarMax', 'Calpine', 'Cerner']"
Crestwood Equity Partners,"['Cre5twood Equity Partners', 'Crestwood Equity Partnerš', 'Crestwòod Equ1ty Partners']","['MärkWest Energy Partners', 'MàrkWest Energý Partners', 'MarkWest Energy Partners']"
Crown Castle International,"['Cr0wn Ca5tle Internatìonal', 'Crow n Castle International', 'Crówn Castle Internationàl']","['Mondelez International', 'Baxter International', 'Tower International', 'CACI International', 'Cameron International', 'Den tsply International']"
Crown Holdings,"['Crown H0ld1ngs', 'Crown Holdi.ngs', 'Crow n Holdings']","['Hawáiian H0ldings', 'Ryèrson Holding', 'HCA Hold1ngs', 'HCA Holdings', 'GNC Holdings', 'Cínemark H0ldings']"
Cummins,"['Cummíns', 'Cummin5', 'Cumm ins']","['YumB rands', 'Cièna', 'Ciena', 'Cintas', 'Humàna', 'Yum Brands', 'Cigna']"
Curtiss-Wright,"['Curti5s-Wright', 'Curtiss W-right', 'Cuřtiss-Wright']","['Church & Dwight', 'Chur ch & Dwight', 'Churcḥ & Dwight']"
D.R. Horton,"['D. R.Horton', 'D.R. H0rton', 'D.R. Hortón']","['P.C. Connection', 'C.R. Bárd', 'Hál1iburton', 'C.R. Bàrd', 'Halliburton', 'C.R. Bard']"
DCP Midstream Partners,"['DCP M1dstream Partners', 'DC P Midstream Partners', 'DCP Midstream Partner5']","['E nable Midstream Partners', 'Enable Midstream Partners', 'Ènable Midstream Partners', 'Enable Mídstream Partners']"
DISH Network,"['D ISH Network', 'D1SH Netw0rk', 'DI5H Network.']","['AMC Networks', 'AMC Networks.', 'AMC Netw0rks', 'A M C Networks']"
DST Systems,"['D S T Systems', 'D5T Systems', 'DST Sy5tems.']","['Cisc0 Sy5tems', 'Adobe Systems', 'Císco Systems', 'Cït rix Systems', 'Cisco Systems']"
DSW,"['DsW', 'DS W']","['cDW', 'CDW', 'D5W']"
DTE Energy,"['DTÉ Ene rgy', 'DTE Enèrgý', 'DTE En3rgy']","['TECo Energy', 'TECO Energý', 'Dukè Energy', 'EP Enèrgy', 'OGE Enèrgy', 'TECO Energy']"
DaVita HealthCare Partners,"['D aVita Heal thCare Partners', 'DaV1ta HealthCare Partnerś', 'DaVità HealthCare Partners']","['Mage11an Midstream Partners', 'DC P Midstream Partners', 'Mo1ina Health.care', 'E nable Midstream Partners', 'DCP Midstream Partners', 'DCP M1dstream Partners', 'We1lCare Heal th Plans']"
Dana Holding,"['Dana H0lding', 'Dána Holding', 'Dan aHolding']","['Si1ganHoldings', 'GnC Hol dings', 'Sears Holdings', 'Silgan Holdings', 'Graham Holdings', 'Sear5 Holdings', 'graham Holding5']"
Danaher,"['DaNaher', 'Daナher', 'Dánaher']","['Dòver', 'Dèere', 'Dover']"
Darden Restaurants,"['Darden Re5taurants', 'Dar den Restaurants', 'Dardèn Restauránts']","['Dollar_General', 'Denbury Res0urces.', 'Range Resources', 'Denbury Resources', 'Denbury Res ources', 'Targa Resources', 'Wynn Resorts', 'Denbury Re5ources']"
Darling Ingredients,"['Da rling Ingredíents', 'Darlíng Ingred1ents', 'Darling. Ingredìents']","['Walgreens', 'Walgreèns', 'walgreens', 'Èducati0n Management']"
Dean Foods,"['Dean. Foods', 'Dèan Foods', 'Deàn F00ds']","['ConAgra F0ods', 'Donal dson', 'U5 Foods', 'Tyson. Foods', 'Tyson Foods', 'Tysón Foods', 'US Foods', 'US F0ods']"
Deere,"['Dêre', 'Dèere', 'Dèëre']","['DíreCTV', 'Álere', 'Terex', 'Dòver', 'DirectV.', 'DirecTV']"
Delek US Holdings,"['Delek U5 Hold ings', 'De1ek US Hold1ngs', 'Delek US. Holdings']","['HD Supply Holdings', 'De1ta Tücker Holdings', 'Sea rs Hold1ngs', 'Realogy Holdings', 'Delta Tucker Holdings.', 'Delta Tucker Holdings']"
Delta Air Lines,"['Delta AirL1nes', 'De1ta Air Lines', 'Dèlta Air Linès']","['Southwest Airlìnes', 'Delta Tucker Holdings.', 'Southwe5t Air lines', '5outhwest Air1ines', 'Southwest Airlines', 'Delta Tucker Holdings']"
Delta Tucker Holdings,"['De1ta Tücker Holdings', 'Delta Tucker Holdings.', 'Dèlta Tucker Hold1ngs']","['Älliance Holdings', 'Sea rs Hold1ngs', 'Sears Holdings', 'Sear5 Holdings', 'Alliance Holdings']"
Denbury Resources,"['Denbury Res0urces.', 'Denbury Res ources', 'Denbury Re5ources']","['Anter0 Resour ces', 'Änterò Resources', 'Nèw Jersey Resources', 'Antero Resources']"
Dentsply International,"['DèntsplÝ International', 'Den tsply International', 'Dentsply Internatìonal']","['Mondelez International', 'Anixter International', 'Tempur Sealy International', 'Lennox International', 'WeSó International', 'Lennox Internatìonal', 'Parèxel International']"
Devon Energy,"['Dèvon Energy', 'Devoñ. Energy', 'DevònEner gy']","['XcelEnergy', 'TECo Energy', 'DTE Energy', 'Consol Energy', 'Duke Energy', 'Valero Energy']"
Dick's Sporting Goods,"[""Dìck's Spor ting Goods"", ""Dicks' Sporting Goodş"", ""D1ck's Sporting Goods""]","['Springleaf Hold!ngs', 'Tyson Foods', 'Springleaf Holdings', 'Americán Airtines Group', 'Springleàf Hold1ngs']"
Diebold,"['Díebold', 'D1ebold', 'Dîebold']","['Donaldson', 'Seaboárd', 'Seaboard']"
Dillard's,"[""Dílard's"", ""D1llard's"", 'Dillard5']","['Lorillar.d', ""McDona1d's"", ""McDonald's"", 'Lorillard', 'Loríllard', 'Lor1llard']"
Diplomat Pharmacy,"['Díplomat Pharmacy', 'Diplόmat Pharmacý', 'Diploma t Pharmacy']","['Aĺexion Pharmaceutícal5', 'Domtar', 'Alexion Pharmaceuticals', 'Álexìon Pharmaceut1cals', 'Domtar.']"
