anchor_name,positive_name,negative_names
ConocoPhillips,ConocoPhil1ips,"['Phillips 66', 'Phillips 66.', 'Crown Holdings']"
Consol Energy,Cónsol Energy,"['TECo Energy', 'Noble Energy', 'CMS Energy']"
Consol Energy,Cons0l E nergy,"['TECo Energy', 'Noble Energy', 'Dèvon Energy']"
Consol Energy,C0nsol Enèrgy,"['TECo Energy', 'Noble Energy', 'N0ble Energy']"
Consolidated Edison,C0nsolidated Edison,"['SùnEdison', 'SunEdison', 'Cónsol Energy']"
Consolidated Edison,Consolidated Edis0n.,"['Consol Energy', 'Constellation Brands', 'Hilton Worldwide Holdings']"
Consolidated Edison,Consolidated Edìson,"['Consol Energy', 'Donal dson', 'Constellation Brands']"
Constellation Brands,Con5tellat1on Brands,"[""Bloomin' Brands"", ""B1oomin' Brands"", 'CST Brands']"
Constellation Brands,Constellation Brands,"[""Bloomin' Brands"", ""B1oomin' Brands"", 'Hìllshire Brands']"
Constellation Brands,C0nstèllati0n Brands,"[""Bloomin' Brands"", 'Hìllshire Brands', 'Hillshire Brands']"
Continental Resources,C0ntinental Reso urces,"['Änterò Resources', 'Antero Resources', 'Pioneer Natural Resources']"
Continental Resources,Continéntal Resources,"['Dominion Resources', 'Domin1on Resources', 'Concho Resources']"
Continental Resources,Cont1nental Res0urces,"['Domin1on Resources', 'Pioneer Natural Resources', 'P1oneer Natural Resources']"
Convergys,C0nvergys,"['CMS Energy', 'ÊnerSys', 'Èntergy']"
Convergys,Con vergys,"['TECo Energy', 'Consol Energy', 'Cónsol Energy']"
Convergys,Cónvergys,"['Cónsol Energy', 'CMS Energy', 'ÊnerSys']"
Cooper Tire & Rubber,Cøoper Tire & Rubber,"['Gòodyear Tire & Rubber', 'Goodyear Tire & Rubber', 'Goodyear Tire & Rub ber']"
Cooper Tire & Rubber,Cooper Tire & Ruƃber,"['Goodyear Tire & Rubber', 'Goodyear Tire & Rub ber', 'Gòodyear Tire & Rubber']"
Cooper Tire & Rubber,Cooper T1re & Rubber,"['Goodyear Tire & Rubber', 'Goodyear Tire & Rub ber', 'Gòodyear Tire & Rubber']"
Cooper-Standard Holdings,Coo per-Standard Holdings,"['Core-Mark Holding', 'Exterran Holdings', 'Core-Mark-Holding']"
Cooper-Standard Holdings,Cooper-Standard H0lding5,"['Core-Mark Holding', 'Cínemark H0ldings', 'Core-Mark-Holding']"
Cooper-Standard Holdings,C00per-Standard Holdings,"['Exterran Holdings', 'Core-Mark Holding', 'Cinemark Holdings']"
Core-Mark Holding,C0re-Mark Holding,"['Cinemark Holdings', 'Sears Holdings', 'Sear5 Holdings']"
Core-Mark Holding,Core-Mark Hold1ng,"['Cinemark Holdings', 'C1nemark Hold1ngs', 'Cinemark. Holdíngs']"
Core-Mark Holding,Core-Mark-Holding,"['Cinemark Holdings', 'Cínemark H0ldings', 'C1nemark Hold1ngs']"
Corning,C0rning,"['Owens Corning', ""Owen'sCorning"", '0wens Corning']"
Corning,Cörning,"['Owens Corning', ""Owen'sCorning"", '0wens Corning']"
Corning,Corn.ing,"['Owens Corning', ""Owen'sCorning"", '0wens Corning']"
Costco,C0st co,"['Sysco', 'Sys co', 'Masco']"
Costco,Costc0,"['Comcast', 'Coty', 'Co mcast']"
Costco,Co5tco,"['Coty', 'Cábot', 'Coach']"
Coty,C0ty,"['Cábôt', 'Cábot', 'Cabot']"
Coty,Cötÿ,"['Cábôt', 'Cábot', 'Cabot']"
Coty,Co.ty,"['Cábot', 'Cabot', 'Costco']"
Country Financial,Countrý Financial,"['ocWen Financial', 'Jones Financial', 'Jone5 Financial.']"
Country Financial,CouNtry Financíal,"['Voya Financial', 'Voya Financ ial', 'Symètra Financial']"
Country Financial,Coúntry Financia1,"['Voya Financial', 'ocWen Financial', 'Voya Financ ial']"
Covance,C0vance,"['Cŕane', 'Crane', 'Cr ane']"
Covance,Cóvance,"['Cŕane', 'Crane', 'Cr ane']"
Covance,Covance.,"['Cŕane', 'Crane', 'Coach']"
Cracker Barrel Old Country Store,Crácker Barrel Old Country Store,"['Sears Hometown & Outlet Stores', 'Brocade Communications Systems', 'Br0cade Commun1cations Systems']"
Cracker Barrel Old Country Store,Cracker Bàrrel Old Cou ntry Store,"[""Casey's General Stores"", ""Ca5ey's Genèral Stores"", ""Ca5ey's Genéral Stores.""]"
Cracker Barrel Old Country Store,Crackèr Barrel Old Country Store.,"[""Ca5ey's Genéral Stores."", 'Sēars Hometown & 0utlet Stores', 'Sears Hometown & Outlet Stores']"
Crane,Cŕane,"['Cóvance', 'Covance', 'Calpine']"
Crane,Cr ane,"['Cerner', 'Cóvance', 'Covance']"
Crane,Cran3,"['Cerner', 'CarMax', 'CsT Brand5']"
Crestwood Equity Partners,Cre5twood Equity Partners,"['MärkWest Energy Partners', 'MarkWest Energy Partners', 'MàrkWest Energý Partners']"
Crestwood Equity Partners,Crestwood Equity Partnerš,"['MärkWest Energy Partners', 'MarkWest Energy Partners', 'MàrkWest Energý Partners']"
Crestwood Equity Partners,Crestwòod Equ1ty Partners,"['MärkWest Energy Partners', 'MarkWest Energy Partners', 'MàrkWest Energý Partners']"
Crown Castle International,Cr0wn Ca5tle Internatìonal,"['Baxter International', 'Den tsply International', 'CACI International']"
Crown Castle International,Crow n Castle International,"['Cameron International', 'Tower International', 'Mondelez International']"
Crown Castle International,Crówn Castle Internationàl,"['Baxter International', 'Den tsply International', 'CACI International']"
Crown Holdings,Crown H0ld1ngs,"['HCA Hold1ngs', 'Hawáiian H0ldings', 'Cínemark H0ldings']"
Crown Holdings,Crown Holdi.ngs,"['HCA Holdings', 'GNC Holdings', 'Ryèrson Holding']"
Crown Holdings,Crow n Holdings,"['HCA Holdings', 'GNC Holdings', 'Ryèrson Holding']"
Cummins,Cummíns,"['YumB rands', 'Yum Brands', 'Humàna']"
Cummins,Cummin5,"['Cièna', 'Cigna', 'Ciena']"
Cummins,Cumm ins,"['Cintas', 'YumB rands', 'Yum Brands']"
Curtiss-Wright,Curti5s-Wright,"['Churcḥ & Dwight', 'Church & Dwight', 'Chur ch & Dwight']"
Curtiss-Wright,Curtiss W-right,"['Churcḥ & Dwight', 'Church & Dwight', 'Chur ch & Dwight']"
Curtiss-Wright,Cuřtiss-Wright,"['Churcḥ & Dwight', 'Church & Dwight', 'Chur ch & Dwight']"
D.R. Horton,D. R.Horton,"['P.C. Connection', 'Hál1iburton', 'Halliburton']"
D.R. Horton,D.R. H0rton,"['C.R. Bárd', 'C.R. Bàrd', 'C.R. Bard']"
D.R. Horton,D.R. Hortón,"['C.R. Bárd', 'C.R. Bàrd', 'C.R. Bard']"
DCP Midstream Partners,DCP M1dstream Partners,"['Ènable Midstream Partners', 'Enable Mídstream Partners', 'Enable Midstream Partners']"
DCP Midstream Partners,DC P Midstream Partners,"['Ènable Midstream Partners', 'Enable Midstream Partners', 'E nable Midstream Partners']"
DCP Midstream Partners,DCP Midstream Partner5,"['Ènable Midstream Partners', 'Enable Midstream Partners', 'E nable Midstream Partners']"
DISH Network,D ISH Network,"['AMC Networks', 'AMC Networks.', 'A M C Networks']"
DISH Network,D1SH Netw0rk,"['AMC Networks', 'AMC Netw0rks', 'AMC Networks.']"
DISH Network,DI5H Network.,"['AMC Networks.', 'AMC Networks', 'A M C Networks']"
DST Systems,D S T Systems,"['Cït rix Systems', 'Císco Systems', 'Cisco Systems']"
DST Systems,D5T Systems,"['Císco Systems', 'Cisco Systems', 'Adobe Systems']"
DST Systems,DST Sy5tems.,"['Cisc0 Sy5tems', 'Císco Systems', 'Cisco Systems']"
DSW,DsW,"['cDW', 'D5W', 'CDW']"
DSW,DS W,"['cDW', 'D5W', 'CDW']"
DTE Energy,DTÉ Ene rgy,"['TECo Energy', 'TECO Energy', 'Dukè Energy']"
DTE Energy,DTE Enèrgý,"['TECO Energý', 'EP Enèrgy', 'OGE Enèrgy']"
DTE Energy,DTE En3rgy,"['TECo Energy', 'TECO Energy', 'EP Enèrgy']"
DaVita HealthCare Partners,D aVita Heal thCare Partners,"['DCP Midstream Partners', 'E nable Midstream Partners', 'DC P Midstream Partners']"
DaVita HealthCare Partners,DaV1ta HealthCare Partnerś,"['Mage11an Midstream Partners', 'Mo1ina Health.care', 'We1lCare Heal th Plans']"
DaVita HealthCare Partners,DaVità HealthCare Partners,"['DCP Midstream Partners', 'DCP M1dstream Partners', 'E nable Midstream Partners']"
Dana Holding,Dana H0lding,"['graham Holding5', 'Silgan Holdings', 'Graham Holdings']"
Dana Holding,Dána Holding,"['GnC Hol dings', 'Sears Holdings', 'Sear5 Holdings']"
Dana Holding,Dan aHolding,"['Silgan Holdings', 'GnC Hol dings', 'Si1ganHoldings']"
Danaher,DaNaher,"['Dòver', 'Dèere', 'Dover']"
Danaher,Daナher,"['Dòver', 'Dèere', 'Dover']"
Danaher,Dánaher,"['Dòver', 'Dèere', 'Dover']"
Darden Restaurants,Darden Re5taurants,"['Denbury Resources', 'Denbury Re5ources', 'Dollar_General']"
Darden Restaurants,Dar den Restaurants,"['Denbury Resources', 'Denbury Res0urces.', 'Denbury Res ources']"
Darden Restaurants,Dardèn Restauránts,"['Targa Resources', 'Range Resources', 'Wynn Resorts']"
Darling Ingredients,Da rling Ingredíents,"['walgreens', 'Walgreens', 'Èducati0n Management']"
Darling Ingredients,Darlíng Ingred1ents,"['walgreens', 'Walgreens', 'Walgreèns']"
Darling Ingredients,Darling. Ingredìents,"['walgreens', 'Walgreens', 'Èducati0n Management']"
Dean Foods,Dean. Foods,"['Tysón Foods', 'Tyson. Foods', 'Tyson Foods']"
Dean Foods,Dèan Foods,"['US Foods', 'U5 Foods', 'Tysón Foods']"
Dean Foods,Deàn F00ds,"['US F0ods', 'ConAgra F0ods', 'Donal dson']"
Deere,Dêre,"['DíreCTV', 'DirecTV', 'DirectV.']"
Deere,Dèere,"['Álere', 'Terex', 'Dòver']"
Deere,Dèëre,"['DíreCTV', 'DirecTV', 'DirectV.']"
Delek US Holdings,Delek U5 Hold ings,"['Delta Tucker Holdings', 'Delta Tucker Holdings.', 'Realogy Holdings']"
Delek US Holdings,De1ek US Hold1ngs,"['De1ta Tücker Holdings', 'HD Supply Holdings', 'Sea rs Hold1ngs']"
Delek US Holdings,Delek US. Holdings,"['HD Supply Holdings', 'Delta Tucker Holdings', 'Delta Tucker Holdings.']"
Delta Air Lines,Delta AirL1nes,"['5outhwest Air1ines', 'Southwest Airlines', 'Southwest Airlìnes']"
Delta Air Lines,De1ta Air Lines,"['Southwe5t Air lines', 'Southwest Airlines', '5outhwest Air1ines']"
Delta Air Lines,Dèlta Air Linès,"['Delta Tucker Holdings', 'Delta Tucker Holdings.', 'Southwe5t Air lines']"
Delta Tucker Holdings,De1ta Tücker Holdings,"['Sears Holdings', 'Sear5 Holdings', 'Sea rs Hold1ngs']"
Delta Tucker Holdings,Delta Tucker Holdings.,"['Älliance Holdings', 'Sears Holdings', 'Sear5 Holdings']"
Delta Tucker Holdings,Dèlta Tucker Hold1ngs,"['Sea rs Hold1ngs', 'Älliance Holdings', 'Alliance Holdings']"
Denbury Resources,Denbury Res0urces.,"['Änterò Resources', 'Antero Resources', 'Nèw Jersey Resources']"
Denbury Resources,Denbury Res ources,"['Änterò Resources', 'Antero Resources', 'Anter0 Resour ces']"
Denbury Resources,Denbury Re5ources,"['Änterò Resources', 'Antero Resources', 'Nèw Jersey Resources']"
Dentsply International,DèntsplÝ International,"['Parèxel International', 'Anixter International', 'Mondelez International']"
Dentsply International,Den tsply International,"['Lennox International', 'Tempur Sealy International', 'WeSó International']"
Dentsply International,Dentsply Internatìonal,"['Lennox Internatìonal', 'Lennox International', 'Tempur Sealy International']"
Devon Energy,Dèvon Energy,"['DTE Energy', 'Consol Energy', 'TECo Energy']"
Devon Energy,Devoñ. Energy,"['Duke Energy', 'DTE Energy', 'Valero Energy']"
Devon Energy,DevònEner gy,"['Duke Energy', 'XcelEnergy', 'DTE Energy']"
Dick's Sporting Goods,Dìck's Spor ting Goods,"['Springleàf Hold1ngs', 'Springleaf Holdings', 'Springleaf Hold!ngs']"
Dick's Sporting Goods,Dicks' Sporting Goodş,"['Americán Airtines Group', 'Springleàf Hold1ngs', 'Springleaf Holdings']"
Dick's Sporting Goods,D1ck's Sporting Goods,"['Tyson Foods', 'Springleàf Hold1ngs', 'Springleaf Holdings']"
Diebold,Díebold,"['Seaboárd', 'Seaboard', 'Donaldson']"
Diebold,D1ebold,"['Seaboárd', 'Seaboard', 'Donaldson']"
Diebold,Dîebold,"['Seaboárd', 'Seaboard', 'Donaldson']"
Dillard's,Dílard's,"['Loríllard', ""McDonald's"", ""McDona1d's""]"
Dillard's,D1llard's,"['Loríllard', 'Lorillard', 'Lor1llard']"
Dillard's,Dillard5,"['Lorillard', 'Lorillar.d', 'Loríllard']"
Diplomat Pharmacy,Díplomat Pharmacy,"['Domtar', 'Álexìon Pharmaceut1cals', 'Domtar.']"
Diplomat Pharmacy,Diplόmat Pharmacý,"['Álexìon Pharmaceut1cals', 'Aĺexion Pharmaceutícal5', 'Alexion Pharmaceuticals']"
Diplomat Pharmacy,Diploma t Pharmacy,"['Domtar', 'Álexìon Pharmaceut1cals', 'Aĺexion Pharmaceutícal5']"
DirecTV,DirectV.,"['Dêre', 'Dèëre', 'Dèere']"
DirecTV,DíreCTV,"['Dêre', 'Dèëre', 'Dèere']"
DirecTV,DirecT V,"['Dêre', 'Dèëre', 'Dèere']"
Discover Financial Services,Discover Financial Servicès,"['ÁmTrust Financial Services', 'AmTrust Financial Servicès', 'AmTrust Financial Services']"
Discover Financial Services,D1scover Financial Serv1ces.,"['ÁmTrust Financial Services', 'AmTrust Financial Services', 'AmTrust Financiãl Services']"
Discover Financial Services,Di5cover Fìnancial Servìces,"['ÁmTrust Financial Services', 'AmTrust Financial Services', 'PNC Fìnancial Services Group']"
Discovery Communications,Di5covery Communications,"['Frontier Communications', 'Front1er, Communications', 'Level 3 Communications']"
Discovery Communications,Díscovery Communicàtions,"['Frontier Communications', 'Front1er, Communications', 'Level 3 Communications']"
Discovery Communications,Discovery Coммunications,"['Frontier Communications', 'Univision Communications', 'Front1er, Communications']"
Disney,D1sney,"['Dyneĝy', 'Dynegy', 'Dýnegy.']"
Disney,Dìsney,"['Dyneĝy', 'Dynegy', 'Dýnegy.']"
Disney,Dísney,"['Dyneĝy', 'Dynegy', 'Dýnegy.']"
Dollar General,D0llar General,"['Dollar Tree', 'D0llar Tree', 'Mèrcury General']"
Dollar General,Dollar_General,"['Dollar Tree', 'Dolla rTree', 'Dollar Treè']"
Dollar General,Dol1ar Genèral,"['Dollar Treè', 'Dollar Tree', 'Mèrcury General']"
Dollar Tree,Dollar Treè,"['Dollar General', 'Family Dollar Stores', 'Dollar_General']"
Dollar Tree,D0llar Tree,"['Dollar General', 'D0llar General', 'Dollar_General']"
Dollar Tree,Dolla rTree,"['Dollar_General', 'Dollar General', 'D0llar General']"
Dominion Resources,Đominion Resourcès,"['Concho Resources', 'Con cho Resources', 'Fránklin Resources']"
Dominion Resources,DòminionResources,"['Fránklin Resources', 'Franklin Resources', 'Cóncho Resources']"
Dominion Resources,Domin1on Resources,"['Concho Resources', 'Con cho Resources', 'Continéntal Resources']"
Domtar,D0mtar,"['Daナher', 'Walmart', 'Wa1mart']"
Domtar,Dõ mtar,"['Tor chmark', 'Daナher', 'Walmart']"
Domtar,Domtar.,"['EchoStar', 'Echo$tar', 'Torchmark.']"
Donaldson,DònaIdson,"['SùnEdison', 'SunÉdison', 'SunEdison']"
Donaldson,D0naldson,"[""McDonald's"", ""McDonald's."", 'Dána Holding']"
Donaldson,Donal dson,"[""McDonald's"", ""McDonald's."", ""McDona1d's""]"
Dover,Dòver,"['Dèere', 'Deere', 'Daナher']"
Dover,D0ver,"['Dèere', 'Deere', 'Daナher']"
Dover,Do.ver,"['Dèere', 'Deere', 'Convergys']"
Dow Chemical,D0w  Chemícal,"['We5tlake Chemícal', 'Eastman Chemical', 'Westlake Chemical']"
Dow Chemical,DowChem1cal,"['Eastman Chemical', 'Westlake Chemical', 'We5tlake Chemícal']"
Dow Chemical,D0w Chèmical,"['Eastman Chemical', 'Westlake Chemical', 'We5tlake Chemical']"
Dr Pepper Snapple Group,Dr Peppèr Snapple Group,"['Dres5er Rand Group', 'Dre sser-Rand Group', 'Èrie Insurance Group']"
Dr Pepper Snapple Group,Dr Pepper Snapple Gr0up,"['Dres5er Rand Group', 'Oaktree Capital Group', '0aktree Cap1tal Group']"
Dr Pepper Snapple Group,dR Peppér SnàppleGroup,"['Sentry Insurànce Group', 'G-III Apparel Group', 'G-III Appare1 Group']"
Dresser-Rand Group,Dre sser-Rand Group,"['Ryland Group', 'Ry1and Group', 'Èrie Insurance Group']"
Dresser-Rand Group,Dre55er-Rand Group,"['Ryland Group', 'Ry1and Group', 'Ryland Gr0up']"
Dresser-Rand Group,Dres5er Rand Group,"['Ryland Group', 'Ry1and Group', 'Èrie Insurance Group']"
DuPont,DuP0nt,"['Pántry', 'Pàntry', 'Pantry']"
DuPont,DuP ont,"['Pántry', 'Pàntry', 'Pantry']"
DuPont,DùPònt,"['Pántry', 'Pàntry', 'Pantry']"
Duke Energy,DukèEnèrgy,"['Dèvon Energy', 'EP Enèrgy', 'DTE Energy']"
Duke Energy,Dukè Energy,"['DTE Energy', 'DTÉ Ene rgy', 'SM Energy']"
Duke Energy,Duke Enèrgy,"['Puģet Energy', 'Puget Energy', 'Devon Energy']"
Dynegy,D ynegy,"['DTE Energy', 'Dísney', 'Dìsney']"
Dynegy,Dyneĝy,"['Dísney', 'Dìsney', 'Disney']"
Dynegy,Dýnegy.,"['Dísney', 'Dìsney', 'Disney']"
E*Trade Financial,E*T rade Fìnancial,"['Sÿmetra Fìnancial', 'Prudentíal Financial', 'Prudential Financial']"
E*Trade Financial,e*Trade Financlal,"['Symetra Financial', 'Prudentíal Financial', 'Prudential Financial']"
E*Trade Financial,E*Tradè Financial,"['Voya Financial', 'V0ya Financial', 'Symètra Financial']"
EMC,E M C,"['FMC', 'F M C', 'F.MC']"
EMC,E.MC,"['FMC', 'F.MC', 'ÀECoM']"
EMC,EmC,"['ÀECoM', 'AECOM', 'AE.COM']"
EMCOR Group,EMÇOR Group,"['hRg Group', 'HRG Group', 'CMÈ Group']"
EMCOR Group,EMC0R Grôup,"['CBRè Group', 'CBRE Group', 'CB RE Group']"
EMCOR Group,E M C O R Group,"['CB RE Group', 'CM E Group', 'CBRè Group']"
EOG Resources,EOG Re5ources,"['QEP Resources', 'AGL Resources', 'qEp Reso͟urces']"
EOG Resources,E O G Resources,"['QEP Resources', 'AGL Resources', 'qEp Reso͟urces']"
EOG Resources,E0G Resources,"['QEP Resources', 'AGL Resources', 'qEp Reso͟urces']"
EP Energy,EP En3rgy,"['WPX Energy', 'PBf Energy', 'PBF Enèrgy']"
EP Energy,EPEn ergy,"['PBF En ergy', 'Entergy', 'WPX Energy']"
EP Energy,EP Enèrgy,"['WPX Energy', 'PBf Energy', 'PBF Enèrgy']"
EQT,E.QT,"['ÀDT', 'TJX', 'LKQ']"
EQT,E Q T,"['L KQ', 'I TT', 'ÀDT']"
Eastman Chemical,Ea5tman Chemica1,"['We5tlake Chemical', 'Westlake Chemical', 'We5tlake Chemícal']"
Eastman Chemical,Eastmän Chemi cal,"['Westlake Chemical', 'West.lake Chemical', 'Dow Chemical']"
Eastman Chemical,Ea5t1màn Chèmical,"['We5tlake Chemical', 'D0w Chèmical', 'Dow Chemical']"
Eastman Kodak,Ea5tman Kodak,"['Eastman Chemical', 'Ea5tman Chemica1', 'Extrrran Holdlngs']"
Eastman Kodak,Eastmán Kodak,"['Eastman Chemical', 'Eastmän Chemi cal', 'Ea5tman Chemica1']"
Eastman Kodak,Eastman Ko dak,"['Eastman Chemical', 'Eastmän Chemi cal', 'Ea5tman Chemica1']"
EchoStar,Ech0Star,"['ȚechData', 'Tèch Data', 'Torchmark']"
EchoStar,Echo$tar,"['Ecolab', 'Domtar', 'Ecol.ab']"
EchoStar,Echostär,"['Nucor', 'Nu cor', 'Ecolab']"
Ecolab,Ecol.ab,"['EchoStar', 'Echo$tar', 'Çoca-Cola']"
Ecolab,Eco1áb,"['Echostär', 'EchoStar', 'Echo$tar']"
Ecolab,Ēc0lab,"['ca.', 'Ech0Star', 'Çoca-Cola']"
Edison International,Ed ison In ternational,"['B rinkèr International', 'Cameron International', 'Brinker International']"
Edison International,Èdison Internat1onal,"['Caméron Internat1onal', 'Cameron International', 'Brinker International']"
Edison International,Edìson Internationál,"['Cameron International', 'WESCO International', 'Towér International']"
Education Management,Eductátion Management,"['Waste Management', 'Wa5te Management', 'Waste  Management']"
Education Management,Educa tion Managemènt,"['Waste Management', 'Wa5te Management', 'Waste  Management']"
Education Management,Èducati0n Management,"['Waste Management', 'Wa5te Management', 'Waste  Management']"
Edwards Lifesciences,Edwárds Life5ciences,"['Gilead Sciences', 'G1lead Sciences', 'Gilead. Sciences']"
Edwards Lifesciences,EDwardsLifesciences.,"['Gilead Sciences', 'G1lead Sciences', 'Gilead. Sciences']"
Edwards Lifesciences,Edward5 Life sc1ence5,"['New York Life Insurance', 'New York Li fe Insurance', 'Gilead Sc1ences']"
Electronic Arts,Èlectronic Arts,"['Árrow Electronics', 'Arrow Electronics', 'Arroω E1ectronics']"
Electronic Arts,Ele¢tronicArts,"['Árrow Electronics', 'Arrow Electronics', 'Arroω E1ectronics']"
Electronic Arts,Elêctronic  Arts,"['Árrow Electronics', 'Arrow Electronics', 'Arroω E1ectronics']"
Eli Lilly,Èli Lilly,"['General Mills', 'Wi lliams', 'Lorillard']"
Eli Lilly,E1i. Lilly,"['Wi lliams', 'Lorillard', 'CH2M Hill']"
Eli Lilly,Eli Ll1ly,"['Wi lliams', 'Pal l', 'Exèlis']"
Emerson Electric,Emèrson Ele ctric,"['Árrow Electronics', 'Arrow Electronics', 'Graybar Electric']"
Emerson Electric,Emerson Elēctric,"['General Electric', 'Americán Electric Power', 'American Electric Power']"
Emerson Electric,Eme₹son Eleçtric,"['General Electric', 'Americán Electric Power', 'American Electric Power']"
Enable Midstream Partners,E nable Midstream Partners,"['Magellan Midstream Partners', 'Mage11an Midstream Partners', 'DCP Midstream Partners']"
Enable Midstream Partners,Ènable Midstream Partners,"['DCP Midstream Partners', 'Magellan Midstream Partners', 'Mage11an Midstream Partners']"
Enable Midstream Partners,Enable Mídstream Partners,"['Magellan Midstream Partners', 'Mage11an Midstream Partners', 'DCP Midstream Partners']"
EnerSys,ÊnerSys,"['Cónvergys', 'Convergys', 'C0nvergys']"
EnerSys,Ener§ys,"['Entergy', 'Ente.rgy', 'SM Energy']"
EnerSys,EνerSys,"['Entergy', 'Ente.rgy', 'Ryder System']"
Energen,Ene rgen,"['Entergy', 'NRg Energie', 'Ente.rgy']"
Energen,Eneгgen,"['Entergy', 'Ente1gy', 'Celgene']"
Energen,Enérgen,"['Entergy', 'NRg Energie', 'Ente.rgy']"
Energizer Holdings,Energ1zer Holdíngs,"['Energy Future Holdings', 'Exterrán Holdings', 'Exterran Holdings']"
Energizer Holdings,E͞nergiz͞er Holdings,"['Energy Future Holdings', 'Exterrán Holdings', 'Exterran Holdings']"
Energizer Holdings,Enèrgizèr Holdings,"['Enérgy Future Holdings', 'Energy Future Holdings', 'Exterrán Holdings']"
Energy Future Holdings,Eñergy Futurè Hold1ngs,"['Energizer Holdings', 'Energ1zer Holdíngs', 'E͞nergiz͞er Holdings']"
Energy Future Holdings,Enérgy Future Holdings,"['Enèrgizèr Holdings', 'Energizer Holdings', 'E͞nergiz͞er Holdings']"
Energy Future Holdings,Energý FuturèHoldings,"['Energizer Holdings', 'E͞nergiz͞er Holdings', 'Enèrgizèr Holdings']"
Energy Transfer Equity,Ener9y Transfer Equiþy,"['NGL Energy Partners', ""NgL Energy Partner's"", 'Integrys Energy Group']"
Energy Transfer Equity,Enérgy Transfer Equity,"['NGL Enèrgy Partners', 'NGL Energy Partners', ""NgL Energy Partner's""]"
Energy Transfer Equity,Energy Transfer E.quity,"['NGL Energy Partners', ""NgL Energy Partner's"", 'FoƦtune Brands Home & Security']"
Entergy,Èntergy,"['OGÈ Energy', 'SM Energy', 'EPEn ergy']"
Entergy,Ente1gy,"['SM Energy', 'EPEn ergy', 'EP Energy']"
Entergy,Ente.rgy,"['SM Energy', 'EPEn ergy', 'EP Energy']"
Enterprise Products Partners,Enterpríse Products Partner5,"['Calumet Specialty Products Partners', 'Cá1ümet Specialty Products Partnèrs', 'Calu.met Specialty Pr0ducts Partners']"
Enterprise Products Partners,Enterpr1se Product5 Partners,"['Calumet Specialty Products Partners', 'Cá1ümet Specialty Products Partnèrs', 'Ferre11gas Partners']"
Enterprise Products Partners,Enterprise. P roducts Partners,"['Calumet Specialty Products Partners', 'Cá1ümet Specialty Products Partnèrs', 'Calu.met Specialty Pr0ducts Partners']"
Envision Healthcare Holdings,Eñvision HealthcareHoldings,"['IMS HealthHoldings', 'IMS Health Holdings', 'Team Health Holdings']"
Envision Healthcare Holdings,Envisìon Health care Holdings,"['IMS Health Holdings', 'Team Health Holdings', 'Tea mHealth Holdings']"
Envision Healthcare Holdings,Envision Healthcare H0ldings,"['IMS Health Holdings', '1MS Health H0ldings', 'Team Health Holdings']"
Equifax,E.quifax,"['Equinix', 'Equin1x', 'Equìnix.']"
Equifax,Equifáx,"['Equinix', 'Equin1x', 'Equìnix.']"
Equifax,Equ1fax,"['Equin1x', 'Equinix', 'Equìnix.']"
Equinix,Equìnix.,"['Equifáx', 'Equifax', 'E.quifax']"
Equinix,equinix,"['Equifáx', 'Equifax', 'E.quifax']"
Equinix,Equin1x,"['Equifáx', 'Equifax', 'E.quifax']"
Equity Residential,Equi1ty Residentiál,"['AmeřicanEquity Investment Life Holding', 'United Rentals', 'Americán Equity Investment Life Holding']"
Equity Residential,Equ1ty Residential.,"['Country Financial', 'unITed Rentals', 'United Rentals']"
Equity Residential,Eqúity Res ident1al,"['United Rentals', 'United Rèntals.', 'Oil States International']"
Erie Insurance Group,Erie Insuránce Gr0up,"['Hanóver Insurance Gr0up', 'Sèntry Insur4nce Group', 'Sentry Insurànce Group']"
Erie Insurance Group,ér1e Insuran ce Group,"['Sentry Insurance Group', 'Sen try Insurance Group', 'Hanover Insurance Group']"
Erie Insurance Group,Èrie Insurance Group,"['Sentry Insurance Group', 'Selective Insurance Group', 'Sen try Insurance Group']"
Essendant,Essèndant,"['Assurant', 'Assúrant.', 'Mònѕanto']"
Essendant,Es5endant,"['Expedia', 'Waste Management', 'Teradata']"
Essendant,Essendant.,"['Assúrant.', 'Assurant', 'Expedia']"
Estee Lauder,Estée Lâuder,"['Fòot Locker', 'Foot Locker', 'F0ot Lokcer']"
Estee Lauder,E5tee Lauder,"['Weyer hauser', 'Weyerhaeuser', 'Weyerhaeu5er']"
Estee Lauder,Esteè Lauder,"['Weyer hauser', 'Boìse Cascade', 'Boise Cascade']"
Esterline Technologies,Es terlineTechnologies,"['Exide Technologies', 'Teledyne Technologies', 'eXi de Technologies']"
Esterline Technologies,Esterline Technologie5,"['Exide Technologies', 'Teledyne Technologies', 'eXi de Technologies']"
Esterline Technologies,Èsterline Technolog1es,"['Èxide Technologies', 'Teledyne Technologies', 'eXi de Technologies']"
Eversource Energy,Evers0urce Energy,"['Westar Energy', 'Xcel Energy', 'Duke Energy']"
Eversource Energy,Èversource Energy,"['Adáms Resources & Energy', 'Adams Resources & Energy', 'Westar Energy']"
Eversource Energy,Eversour ce Energy,"['Adáms Resources & Energy', 'Adams Resources & Energy', 'Westar Energy']"
Exelis,E xelis,"['Exelon', 'Exel0n', 'Express']"
Exelis,Exèlis,"['Exèlon', 'Exelon', 'Exel0n']"
Exelis,Exel1s,"['Exelon', 'Exel0n', 'Express']"
Exelon,Exel0n,"['Exelis', 'Exel1s', 'E xelis']"
